,,
품명,현재고,소매가
각파이프75*45*2.3*6M ,,"30,000"
각파이프75*75 ,,"42,000"
각파이프캡100*100 ,,"1,000"
각파이프캡pvc100*100속각 ,25,"1,200"
간이소변기 ,14,"35,000"
갈대발4자풀마루 ,24,"11,000"
갈대발5자풀마루 ,19,"14,000"
갈대발대나무A끈 ,13,"19,000"
갈대비자루긴것빨강색 ,47,"6,000"
갈매기조리개대 ,100,300
갈퀴P대 ,118,"4,000"
갈퀴P소 ,220,"3,500"
갈퀴P자동*알미늄자루 ,8,"6,000"
갈퀴P접이2단알미늄경동 ,11,"7,000"
갈퀴대나무 ,18,"16,000"
갈퀴스텐자루철 ,13,"6,000"
갈퀴철 ,52,"5,000"
갈퀴철2단자동 ,5,"9,000"
갈퀴철사피대덕진 ,14,"7,000"
갈퀴철사피특대덕진 ,13,"8,000"
감갈고리 ,-1,"9,000"
갓다12*코이코 ,13,"13,000"
갓다14*코이코 ,16,"15,000"
갓다18*코이코 ,6,"18,000"
갓다24코이코 ,2,"23,000"
갓다36코이코 ,2,"39,000"
갓다42코이코 ,1,"60,000"
갓다MCC12*300 ,6,"45,000"
갓다MCC14*350 ,7,"50,000"
갓다MCC18*450 ,4,"61,000"
갓다도규12*300 ,5,"30,000"
갓다도규14*350 ,,"35,000"
갓다도규18*450 ,,"50,000"
"갓다피쿠스12""(300) ",27,"27,000"
"갓다피쿠스14""(350) ",28,"29,000"
강당걸래T부속 ,67,"1,500"
강당걸래국산원사2.0자*청주 ,19,"14,000"
강당걸래국산원사2.5자*청주 ,21,"15,000"
강당걸래국산원사3.0자*청주 ,22,"16,000"
강당걸래스텐자루2자 ,-1,"15,000"
강당걸래스텐자루3자 ,1,"18,000"
강당걸래스텐자루4자 ,1,"24,000"
강당걸래자루 ,132,"2,000"
강선갈고리65*꽤배기 ,14,"8,000"
강선갈고리80*꽤배기 ,23,"9,000"
강선갈고리90*꽤배기 ,31,"10,000"
"강철와이어예초기날8"" ",-3,"11,000"
강화도어번호키*자우겸용K2-G25 ,2,"130,000"
강화도어보조키2그라제외문 ,4,"34,000"
강화도어보조키3그라제양문형 ,3,"45,000"
강화도어보조키미아 ,4,"10,000"
강화도어손잡이봉스텐*32 ,4,"30,000"
강화도어손잡이봉스텐700 ,,"77,000"
강화도어손잡이봉월낫*40 ,10,"30,000"
강화도어손잡이엘자 ,10,"15,000"
강화도어힌지8300KSK수입 ,10,"38,000"
강화도어힌지8300Kkk ,2,"63,000"
강화도어힌지8300N논스톱형 ,1,"110,000"
강화도어힌지8300케이맨 ,,
강화도어힌지8300킹 ,5,"78,000"
강화도어힌지8300킹방수형 ,3,"97,000"
강화도어힌지8500킹 ,2,"90,000"
강화도어힌지기억자쇠 ,15,"2,000"
강화도어힌지상롯트 ,,"10,000"
개망바닥망 ,10,"57,000"
개망옆망 ,37,"28,000"
개목걸이가죽벨트25 ,25,"3,000"
개목걸이가죽벨트30 ,16,"4,000"
개목걸이가죽벨트40 ,16,"7,000"
개목걸이방울소 ,88,"1,000"
개목걸이방울중 ,82,"1,500"
개목걸이피피25 ,34,"2,000"
개목걸이피피30 ,33,"3,000"
개목걸이피피40 ,20,"3,500"
개밥그릇 ,11,"7,000"
개줄 ,23,"5,000"
개줄꽈배기 2번 ,16,"10,000"
개줄꽈배기10번 ,38,"4,000"
개줄꽈배기12변 ,28,"3,000"
개줄도르레대 ,29,"3,000"
개줄도르레중 ,7,"2,000"
개줄도르레특대 ,8,"5,000"
개줄송아지고리 ,,"7,000"
개줄실12 ,18,"5,000"
개줄실16 ,5,"7,000"
개줄실20 ,10,"9,000"
개줄와이어3 ,52,"4,000"
개줄와이어5 ,14,"5,000"
개줄와이어6 ,18,"8,000"
개줄와이어8 ,10,"9,000"
개줄와이어8중간도르레 ,13,"12,000"
개줄체인3 ,50,"4,000"
개줄체인4 ,30,"6,000"
개줄체인5 ,14,"7,000"
개줄체인6중간도르레 ,43,"8,000"
개집2호소 ,3,"39,000"
개집3호중 ,3,"45,000"
개집4호대 ,4,"52,000"
개집5호특대 ,5,"72,000"
개집6호왕대 ,4,"76,000"
개집상대슈퍼 ,2,"135,000"
거울고리 ,140,"1,000"
거적씨앗 ,-52,"3,133"
건강보험 ,-2,"161,210"
건강보험요양 ,-2,"18,500"
건식코아엘지DC1004 ,1,"340,000"
건전지 ,-288,"1,400"
건전지AA ,505,"1,400"
건전지AAA ,780,"1,200"
건전지AAA벌크 ,172,900
건전지AA벌크 ,185,900
건전지FC-9V사각형 ,58,"1,500"
건전지LR03 ,-4,"2,000"
건전지LR44알약 ,40,500
건전지R14*1.5V(두개입) ,-36,"2,000"
건전지R14-CM ,12,"1,500"
건전지R20*1.5V(두개입)D타입 ,157,"2,500"
건전지R20*1.5V(두개입)블루텍 ,10,"4,500"
건전지랜턴용4R25 ,1,"6,000"
건전지리튬도시바cr-p2 ,19,"10,000"
건전지수은2016레벨기 ,20,"2,000"
건전지수은2025 ,29,"1,000"
건전지수은2032*CR 백셀 ,37,"1,000"
건전지수은2450용접면용 ,36,"1,500"
건전지수은에버라이트3개 ,25,"4,000"
건전지슈퍼셀1.5VLR44*알약형 ,17,"1,000"
걸고리12특대영진 ,39,"2,500"
걸고리14왕대대승 ,14,"4,000"
걸고리5소 영진 ,182,600
걸고리6중 영진 ,96,"1,000"
걸고리7대 영진 ,104,"1,500"
걸고리9상대 영진 ,53,"2,000"
걸고리L자형 ,162,500
걸고리ㄷ자형 ,5,800
걸고리만*대 ,154,500
걸고리만*중 ,279,400
걸고리스텐대 ,8,"4,000"
걸고리행가도어용*스텐 ,8,"20,000"
걸래극세사걸래리필40cm파랑 ,16,"3,500"
걸래극세사걸래리필백색 ,9,"8,000"
걸래극세사대셋트*백색 ,8,"18,000"
걸래극세사셋트410*파랑 ,6,"12,000"
걸래기름코머스캡오*말18L ,2,"90,000"
걸래꽃방걸래만밍크 ,17,"5,000"
걸래꽃방걸래셋트 ,18,"8,000"
걸래리스킹걸래2.0자무지 ,16,"4,000"
걸래리스킹걸래3.0자무지 ,13,"6,000"
걸래리스킹기름2.0자셋트 ,18,"12,000"
걸래리스킹기름3.0자셋트 ,14,"13,000"
걸래리스킹기름걸래만2자 ,10,"5,000"
걸래리스킹기름걸래만3자 ,76,"7,000"
걸래리스킹기름말코머스 ,1,"80,000"
걸래리스킹무지셋트2.0자무지 ,48,"11,000"
걸래리스킹무지셋트3.0자무지 ,66,"13,000"
걸래리스킹무지셋트3.5자무지 ,9,"14,000"
걸래리스킹자루 ,60,"6,000"
걸래방울이셋트1.5 ,10,"17,000"
걸래방울이셋트2자 ,9,"18,000"
걸래자루 ,-64,"2,000"
걸래집게형매직와이퍼 ,7,"13,000"
걸래통돌이걸래짤순이포함 ,2,"40,000"
걸래통돌이리필용 ,4,"5,000"
걸래회전탈수기셋트 ,3,"43,000"
게비온청암석1000*1000*300 ,10,"190,000"
게비온청암석1000*1000*400 ,10,"200,000"
게비온청암석1000*400*400벤취 ,8,"130,000"
게비온청암석1000*500*300 ,3,"115,000"
게비온청암석1000*500*400 ,8,"125,000"
게비온청암석1000*600*400 ,3,"135,000"
게시판융액자1200*900 ,3,
게이트볼밸브청동10K*15*10K ,2,"26,000"
게이트볼밸브청동10K*20*10K ,2,"36,000"
게이트볼밸브청동10K*25*10K ,2,"45,000"
게이트볼밸브청동5K*15*5k ,10,"24,000"
게이트볼밸브청동5K*20*5k22165 ,5,"36,000"
게이트볼밸브청동5K*25*5K ,5,"46,000"
게이트볼밸브청동5K*32*5K ,3,"64,000"
게이트볼밸브청동5K*40*5K ,3,"95,000"
게이트볼밸브청동5K*50*5K ,2,"126,000"
게자리125대 ,9,"8,000"
게자리75 ,,
겨울용패팅조끼형광색상호 ,,"27,000"
견사기(KDY)10*12 ,4,"13,000"
견사기(KDY)10*13 ,4,"13,000"
견사기(KDY)11*13 ,11,"13,000"
견사기(KDY)12*14 ,4,"13,000"
견사기(KDY)14*17 ,11,"15,000"
견사기(KDY)17*19 ,9,"15,000"
견사기(KDY)17*21 ,2,"16,000"
견사기(KDY)17*22 ,,"16,000"
견사기(KDY)19*21 ,9,"16,000"
견사기(KDY)19*22 ,2,"17,000"
견사기(KDY)19*24 ,,"18,000"
견사기(KDY)22*24 ,,"19,000"
견사기(KDY)24*27 ,2,"20,000"
견사기(KDY)30*32 ,3,"35,000"
견사기(KOY)38*41 ,2,"66,000"
견사기10*12슈퍼 ,5,"22,000"
견사기10*13슈퍼 ,4,"24,000"
견사기11*13슈퍼 ,4,"22,000"
견사기12*14슈퍼 ,4,"22,000"
견사기14*17슈퍼 ,17,"22,000"
견사기17*19슈퍼 ,16,"23,000"
견사기19*21슈퍼 ,7,"33,000"
견사기19*22슈퍼 ,5,"38,000"
견사기19*24슈퍼 ,6,"38,000"
견사기21*24슈퍼 ,4,"39,000"
견사기22*24슈퍼 ,5,"39,000"
견사기22*27슈퍼 ,5,"45,000"
견사기23*26슈퍼 ,6,"45,000"
견사기24*27슈퍼 ,6,"45,000"
견사기24*30슈퍼 ,5,"46,000"
견사기26*32슈퍼 ,1,"47,000"
견사기27*30슈퍼 ,4,"45,000"
견사기27*32슈퍼 ,4,"48,000"
견사기30*32슈퍼 ,4,"54,000"
견사기32*36슈퍼 ,6,"60,000"
견사기36*41슈퍼 ,4,"87,000"
견사기38*41슈퍼 ,3,"115,000"
견사기41*46슈퍼 ,2,"127,000"
견사기46*50슈퍼 ,1,"130,000"
견사기롱14*17L슈퍼롱 ,3,"34,000"
견사기롱17*19L슈퍼롱 ,2,"41,000"
견사기롱27*32L슈퍼롱 ,,"83,000"
견사기롱32*36L슈퍼롱 ,,"99,000"
견사기목꺽임14*17 ,3,"16,000"
견사기아시바14*17 ,3,"22,000"
견사기아시바17*19 ,3,"23,000"
결속선 ,-43,"5,000"
결속선대350*9KG 수 ,45,"16,000"
결속선대350*9kg국산 ,,"21,000"
결속선대450*9KG 수 ,9,"16,000"
결속선대450*9Kg국산 ,,"20,000"
결속선대550 ,,"18,000"
결속선대600 ,14,"18,000"
결속선대600국산 ,,"20,000"
결속핸들b급철 ,35,"2,000"
결속핸들알미늄30세종 ,53,"12,000"
결속핸들알미늄게단*노랑카바 ,23,"15,000"
결속핸들자동조리개 ,4,"30,000"
결속핸들자주색손잡이 ,-2,"8,000"
결속핸들철근 ,17,"11,000"
결속핸들협진노랑손잡이 ,24,"5,000"
경게석 집게 학카 ,3,"91,000"
경게석150*150*150*42개 ,61,"10,000"
경게석150*170*200h보차도A*25개 ,50,"14,000"
경게석180*205*250h보차도B*16개 ,42,"15,000"
경게석180*210*300h보차도C*12개 ,,"18,000"
경게석고리삼각형 ,2,"5,000"
경게석고리손잡이철 ,29,"5,000"
경게석화강100*100*1000 ,118,"16,500"
경게석화강150*100*1000 ,94,"20,000"
경게석화강150*150*1000*42개 ,212,"23,000"
경게석화강200*180*1000*25개 ,42,"32,000"
경게석화강200*250*1000*20개 ,48,"39,000"
경게석화강경사도150*100*1000경 ,7,"24,000"
경게석화강경사도200*250*1000경 ,1,"45,000"
경게석화강곡선150*150곡선1R ,,"25,000"
경게석화강곡선150*150곡선3R ,,"25,000"
경게석화강낮춤석150*100*1000 ,70,"20,000"
경게석화강낮춤석200*100*1000 ,22,"25,000"
경게외등75W ,-14,"15,000"
경동보일러스텐내장형13KC 겸용 ,1,"630,000"
경동보일러스텐내장형17KC 겸용 ,1,"710,000"
경동보일러스텐내장형20KC 겸용 ,1,"720,000"
경편크리너30*40 ,80,"1,200"
계단미송12*38*300 ,3,"88,000"
계단미송12*38*600 ,3,"145,000"
계단미송대동자100 ,19,"49,000"
계단미송소동자40 ,68,"5,500"
계단사다리4M ,,"1,320,000"
계단손스침핸드레일12자 ,5,"63,000"
계란판흡음재1M*2M*25 ,-12,"13,500"
계량기벽면뚜껑스텐 ,9,"14,000"
계량기스치로폼 ,1,"10,000"
계량기인상링15mm*10전 ,7,"12,000"
계량기인상링15mm20전 ,,"15,000"
"계량기인상링20,25,32mm10전 ",5,"19,000"
계산서발행 ,-39,
계산착오 ,1,
계수대 ,-1,"61,000"
계양고속절단기NHC-14D ,2,"210,000"
계양그라인다100B은색철카바 ,1,"75,000"
계양그라인다100SN-2검정색 ,,"74,000"
계양그라인다100SN빨강색 ,3,"72,000"
"계양그라인다7""-180FB ",1,"220,000"
"계양그라인다7""DG-180FB 180mm ",,
"계양그라인다9""*230 ",,"288,000"
계양그라인다DG850V속도조절용 ,,"120,000"
계양그라인다만조셋트 ,-3,"8,000"
계양그라인다카바KDH125 ,-3,"9,000"
계양금속고속절단기 ,,"400,000"
계양대패PP-3A전기대패 ,,"235,000"
계양드릴6KB ,2,"78,000"
계양드릴DMV10K ,2,"99,000"
계양드릴DMV13K ,,"110,000"
계양믹서드릴D-13 ,1,"278,000"
계양믹서드릴D-16 ,1,"320,000"
계양믹서드릴D-23 ,1,"363,000"
계양믹서드릴PD-13 ,,"195,000"
계양부품절단기안전카바 ,5,"23,000"
계양샌딩기FS-3C ,1,"71,000"
계양송풍기BR-20 ,1,"101,000"
계양원형톱7-C카바 ,4,"6,000"
계양원형톱7CA ,2,"150,000"
계양원형톱9 ,,"320,000"
계양임팩렌지전기IW20 ,1,"260,000"
계양전기톱체인톱350*26날 ,,"184,000"
계양전기톱체인톱400*28.5날 ,1,"242,000"
계양충전그라인다*툴*DG18BL ,,"167,000"
"계양충전그라인다18v5.0,DG18BL ",,"360,000"
계양충전드릴18vBL(5.0Ah) ,,"360,000"
계양충전임팩ID16BL-150I(2.5Ah) ,1,"240,000"
계양충전함마ID-18BLA5.0ah검정 ,,"360,000"
계양함마드릴263치즐 ,,"230,000"
계양함마드릴PHD283B로타리 ,1,"250,000"
계양함마드릴PHD3800 ,1,"490,000"
계양함마파괴PHD-40파괴겸용 ,1,"520,000"
고구마파종기 ,46,"2,000"
고기망대 ,282,"3,000"
고기망중 ,277,"1,500"
고대(랭가고대) 대 ,-3,"7,000"
고대(무궁화) ,26,"3,300"
고대(삽고대)타일용 ,14,"7,000"
고대(타일톱고대) ,2,"5,500"
고대랭가마춤 ,24,"7,000"
고대압착사각고대빨강색 ,12,"7,000"
고리 ,-16,400
고무깔판60*90 ,5,"11,000"
고무너트16MM ,10,200
고무다라 ,-51,"6,000"
고무링 ,-19,
고무망치*검정대 ,24,"6,000"
고무망치*검정중 ,20,"4,000"
고무망치*검정특대65mm ,8,"9,000"
고무망치*백색검정*왕특대 ,1,"16,000"
고무망치*백색대 ,10,"8,000"
고무망치*백색보강토 ,3,"54,000"
고무망치*백색특대 ,5,"12,000"
고무망치*아이보리보강토 ,1,"40,000"
고무망치우레탄에리펀트 대 ,19,"19,000"
고무망치우레탄엘리펀트 중 ,20,"17,000"
고무망치우레탄엘리펀트 특대 ,19,"24,000"
고무바0.5톤포터바 ,,"9,000"
고무바1톤바포터바 ,9,"13,000"
고무바쥬브바2.5 ,465,"2,000"
고무바찰바*소(호로바) ,12,"10,000"
고무바찰바*원형 ,1,"10,000"
고무바찰바넓적*대(호로바) ,4,"11,000"
고무바킹 ,68,220
고무발포시트6T접착M2 ,,"7,500"
고무발포시트9T140*30M접착 ,,"9,800"
고무발포시트테이프50M/M ,,"8,000"
고무발포시트테이프75M/M ,,"11,000"
고무원형캡40 ,-30,900
고무원형캡65 ,-10,"1,600"
고무테이프*태영 ,66,"2,000"
고무통*1호330뚜꼉포함특호 ,7,"70,000"
고무통*2호200L뚜껑포함 ,4,"52,000"
고무통*5호120L뚜껑포함 ,6,"45,000"
고무통*8호90L105호뚜껑포함 ,10,"35,000"
고무통*9호50L103뚜껑포함 ,7,"33,000"
고무통*상통중180 ,5,"33,000"
고무통*상통특240 ,3,"45,000"
고무통*타원형500 ,,"63,000"
고무통*타원형대180 ,5,"46,000"
고무통*타원형중120 ,5,"42,000"
고무통500*검정빨강고래통 ,2,"89,000"
고무통600*검정빨강고래통 ,6,"94,000"
고무통뚜껑 2호200L뚜껑 ,-1,"9,000"
고무통뚜껑 5호120L ,-2,"6,000"
고무통뚜껑 8호90L ,9,"5,000"
고무통뚜껑 9호50L ,7,"3,000"
고무통뚜껑500검정 ,3,"27,000"
고무통뚜껑650 ,7,"29,000"
고무통사각대라운드 ,8,"16,000"
고무통사각중 ,7,"13,000"
고무판 ,-2,"144,000"
고무판2.4T*91*15M ,1,"110,000"
고무판3.2T*91*15M ,2,"124,000"
고무판4.8T*910*10M ,2,"137,000"
고무판6.4T*910*10M ,1,"155,000"
고무판9.6T*91*10M ,2,"240,000"
고무판M당2.4T*91*1M당 ,15,"11,000"
고무판M당3.2T*91*1M당 ,-3,"16,000"
고무판M당4.8T*91*1M당 ,4,"20,000"
고무판M당6.4T*91*1M당 ,3,"25,000"
고무판M당9.6T*90*1M당 ,2,"37,000"
고무판우사17T1220*1830*엠보싱 ,2,"110,000"
고무헤라130 ,134,"2,000"
고무헤라우레탄130 ,34,"3,000"
고무헤라우레탄대200 ,25,"4,000"
고무헤라특대300 ,-2,"4,000"
고물개*알미늄38CM금강 ,11,"15,000"
고물개*알미늄50CM금강 ,5,"18,000"
고물개대회색*솔표 ,23,"14,000"
고물개적색나무자루*명보 ,12,"6,000"
고속절단기안전카바계양 ,,"40,000"
고식걸고리대 ,246,300
고압동력80A혼다GX200 ,,"1,375,000"
고압분무기세라믹권총*동명 ,4,"48,000"
고압분무기전기3마력80A*13미리 ,1,"836,000"
고양이망 ,1,"41,000"
고용보험 ,-3,"42,550"
고용일수 ,-183,"90,000"
고정대P*수도배관용 ,30,"1,500"
고지가위스프링 ,17,"2,000"
고지가위아로스180-1.2M ,2,"86,000"
고지가위아로스180-1.8M ,1,"95,000"
고지가위톱날교체용160ZD아로스 ,3,"27,000"
고지가위톱날교체용1800P가마끼 ,3,"21,000"
고지가위톱날교체용가마끼210 ,1,"18,000"
고지가위톱아로스160ZD*3.0*3단 ,4,"89,000"
고지가위톱화신S-300 ,1,"55,000"
고지가위톱화신S-330 ,1,"77,000"
고지가위톱화신로프3.6mS-400 ,2,"68,000"
고지가위헤드 ,1,"45,000"
고지톱PS*1.2가마끼 ,2,"66,000"
고지톱PS*2.0가마끼 ,2,"83,000"
고지톱PS*3.0가마끼 ,1,"95,000"
고지톱날CUAH백마태흥 ,1,"22,000"
고지톱날교체용PS300k가마끼 ,9,"33,000"
고추꼬인백색 ,38,"7,000"
고추꼬인청색*12개 ,88,"7,000"
고추꼬인흑색 ,36,"7,000"
고추끈 ,84,"7,000"
고추끈꼬인것 ,211,"7,000"
고추끈꼬인흑색유인끈 ,5,"14,000"
고추끈백색 ,6,"7,000"
고추대뽑기알미늄자루 ,10,"12,000"
고추말뚝120 ,993,600
고추말뚝150 ,663,700
고추말뚝180 ,740,900
고추말뚝박기항타기(소) ,,
고추말뚝박기항타기(중)60cm ,3,"21,000"
고추말뚝원형22T*150*20개 ,119,"2,400"
고추말뚝원형22T*180*20개 ,70,"3,000"
고추말뚝원형22T*200*20개 ,60,"3,500"
고추말뚝하우스파이프160 ,"1,355","3,000"
고추말뚝하우스파이프200 ,200,"3,000"
고추멍석12자*8자봉재 ,,"10,000"
고추멍석6M*20M*벼망 ,3,"48,000"
고추멍석6M*30M벼망 ,5,"87,000"
고추멍석망2.4m*25m갈색 ,,"67,000"
고추멍석망녹색2.4m*25m ,1,"64,000"
고추부직포백색2.2*8미터 ,1,"6,000"
곡괭이날*넓적 ,42,"10,000"
곡괭이날*넓적*빨간자루포함 ,4,"21,000"
곡괭이날*반평화전 ,12,"10,000"
곡괭이날*조경스프링국산 ,2,"22,000"
곡괭이날조경용-중국 ,2,"19,000"
곡괭이미니*손잡이칼라 ,6,"17,000"
곡괭이자루A급(노랑) ,,"11,000"
곡괭이자루빨강 ,49,"11,000"
곡괭이자루우레탄무진동 ,7,"8,000"
곡괭이조경용 ,2,"22,000"
곡괭이조경우레탄자루 ,2,"20,000"
골함석 ,53,"13,000"
곰팡이제로 ,11,"6,000"
공과금 ,-12,"150,000"
공구 셋트 ,1,"50,000"
공구가방500*290*260(KPB-20) ,2,"55,000"
공구가방툴백소91261 ,1,"26,000"
공구박스 ,12,"46,000"
공구박스12칸 ,5,"21,000"
공구셋트11피스*퍄워하우스 ,-1,"22,000"
공구수리비 ,93,"10,000"
공구임대료 ,,"40,000"
공구집2구스마토1001 ,5,"10,000"
공구집2구스마토1002 ,3,"10,000"
공구함디월트2.0*3단 ,-2,"350,000"
공구함멀티박스SUB-18피스함 ,1,"27,000"
공구함봉고철재1620*500*500 ,,"420,000"
공구함양문형J-103특1호 ,3,"20,000"
공구함양문형J-204특2호 ,4,"18,000"
공구함양문형소J-204 ,,"20,000"
공구함양문형중J-103빨강 ,2,"21,000"
공구함일반형소J402특4호 ,,"19,000"
공구함일반형중J502특5호 ,3,"23,000"
공구함일반형특1호601 ,3,"27,000"
공기창 천정 대200*200 ,-153,"2,000"
공기창 천정 중 ,321,"1,000"
공기창150*150스텐 ,12,"7,000"
공사안내간판대 ,,"180,000"
공사안내간판소 ,,"85,000"
공업용랩보호청랩40mic ,54,"24,000"
공업용랩손풀림개1갑2조 ,28,"3,000"
공업용랩투명15하늘산 ,51,"16,000"
공업용랩투명18하늘산 ,68,"18,000"
공업용랩투명20명성20 ,28,"22,000"
"공업용선풍기16""회전탁상용위브 ",,"76,000"
"공업용선풍기24""TK알미늄날개 ",,"180,000"
"공업용선풍기24""금강 ",7,"155,000"
"공업용선풍기24""홈빛 ",3,"158,000"
"공업용선풍기30""TK알미늄날개 ",,"190,000"
"공업용선풍기30""금강 ",10,"170,000"
"공업용선풍기30""홈빛 ",,"180,000"
공업용환풍기고압25*BP흡배출용 ,2,"42,000"
곶감걸이 ,,500
과속방지턱1000*1000*75T ,,"115,000"
과속방지턱1000*1000*75T*2장 ,,"115,000"
과수지주대높이조절용*3.4M ,2,"18,000"
광명단1L ,5,"22,000"
광전식감지기 ,-40,"20,800"
괭이*뿌리호미*네기 ,1,"16,000"
괭이*삼각톱니*각선호미 ,3,"18,000"
괭이*솔표 ,,"14,000"
괭이*올스텐 ,17,"12,000"
괭이개량나무자루 ,7,"7,000"
괭이개량스텐자루*은학표 ,5,"8,000"
괭이개량철자루*은학표 ,1,"7,000"
괭이담배괭이(괭이좁은거) ,15,"6,000"
괭이자루 ,683,"2,000"
괭이자루참나무황소 ,2,"7,000"
괭이주물넓적화전물푸레자무포함 ,20,"10,000"
괭이호바주물*스텐자루 ,14,"12,000"
괭이화전괭이날(중) ,17,"5,000"
교량암거1500*1500*2000*5.5톤 ,,"1,280,000"
교량접속스라브6종셋트 ,,"14,500"
교통규제표시시속30K*600 ,-2,"70,000"
교통규제표시이동식지주2M ,1,"40,000"
구급함 ,2,"36,000"
구급함특대스페셜 ,,"115,000"
구두칼제일 ,17,"3,000"
